PC1,PC2,PC3,Class
-5.290089874559538,-1.5749496056546408,-0.758824719083532,5
-5.142197793376151,-2.047915360172597,-2.0259233702350254,5
-5.062660008756081,-1.6388824861434002,-0.4670927032245156,5
-4.580747564740557,-1.844351612127847,-3.042205812384247,5
-5.753493620331485,-2.728522443468363,-0.43205012503779516,5
-5.113084514237314,-2.0478933423591905,-0.6563209076886248,5
-4.493124552590609,-1.8213310868859809,-2.4817280274639795,5
-5.205781232377337,-2.1603101508960987,-0.6311107649636195,5
-4.345136291229377,-1.5824995391505376,-0.5554676203915897,5
-5.058822498550011,-1.998694476590123,-0.048534662087877864,5
-5.049025807275642,-2.198008981277416,-0.9711625100546042,5
-5.220383646838839,-2.5213101570136187,-0.8587173385168921,5
-5.07807812077315,-2.1884311889064194,-0.6854777154805651,5
-4.970703948436168,-2.1909420183092267,-0.39186195981691907,5
-5.209262702054511,-2.4582972787403436,-0.5623792398657715,5
-5.193142697636598,-2.3666607978680347,-0.8151641892364274,5
-4.929919600270438,-2.158628498025353,-0.8834006705243309,5
-5.036212469175382,-2.1860903124654287,-0.8857108124819244,5
-5.226619271346682,-2.448934211139597,-0.6369916460645045,5
-5.1710269095248504,-2.248406680256018,-0.013926829871352353,5
-5.011468231694898,-1.973345915609225,0.2698681968442553,5
-5.294455822907313,-2.5152063304884105,-0.18761677530200627,5
-4.1277692637773455,-1.698727950820739,-3.0576736049233664,5
-3.7564140816889253,-0.631576362316178,-0.7447438425462795,5
-3.330700648126074,0.1577974695250985,-0.137265126576825,5
-5.186156955619503,-2.629329448662811,-0.8619342609240604,5
-4.839341400715479,-2.292837215852439,-1.1491393324549217,5
-4.9689909807253505,-2.1303709619023645,-0.0033135737798448304,5
-4.591959193827996,-1.880789551056332,-0.9409302190719167,5
-4.7267498024435675,-1.728408505007094,0.38085935109942415,5
-5.051747052732088,-2.488751939357968,-0.8380799538140267,5
-4.250388441641993,-1.5799771994686038,-1.343739759762873,5
-4.2481983684404465,-1.4627720804851756,-0.7173105267888696,5
-5.240529825003792,-2.5597401869423435,-0.07507055972437877,5
-5.3123687179418155,-2.6702898621273428,-0.18932075734528292,5
-4.6051949098714475,-2.131096211600661,0.20685027124077127,5
-4.996662661883517,-2.6276160709144665,-1.0681680194781775,5
-5.002869943195782,-2.4986300606706715,-1.0648955738121066,5
-3.9493105835060462,-0.8956589524756845,0.09416303036852781,5
-4.66970612087041,-1.759099689633769,0.14326629393052084,5
-4.9703060284642975,-2.457546150339911,-0.7676298503091026,5
-5.28013642597589,-2.6409552860162266,0.10156903828972401,5
-3.2329446218795006,-0.14193698227003784,-0.4335217360924355,5
-4.171473088206928,-1.520011505196139,-1.3697470557159974,5
-4.747817496403567,-1.9237549146510111,-0.1489617247557829,5
-4.849091667155586,-2.282633172682753,-0.9162605214967217,5
-4.577245404682918,-1.9498981281084058,-0.9089373714441085,5
-3.947797098811472,-1.3837752726312822,-0.4309623407838095,5
-4.371905514844513,-1.9164722680702955,-1.5754027987707686,5
-4.9707515985785715,-2.2133461856518633,0.00012111265674866106,5
-4.717635277956769,-2.1392219787818356,-0.6434390092361485,5
-4.718475371383282,-2.044267658203937,-0.13598581885481728,5
-5.037132656644452,-2.537810776094906,-0.4222367337065901,5
-5.098731724768197,-2.5980768058359316,-0.20689152837964164,5
-4.751709596263776,-2.1775182413220073,-0.40037534754498627,5
-4.6722057768999266,-2.1552262991755495,-0.6431395830809956,5
-4.268735156215547,-1.8184296532882716,-1.5867382817900868,5
-5.193988655797793,-2.5724082742091823,0.3452462922632328,5
-4.836974933277602,-2.3019747539421522,-0.6360412764928061,5
-4.560107087347992,-1.8184880573687603,-0.19668686163395893,5
-4.866518766666005,-2.3207477764890667,-0.2580551917086374,5
-4.851028049268464,-2.212939362424672,-0.3249458448166759,5
-4.83204508245631,-2.371343904451506,-0.2560951037890953,5
-3.610583617254581,-1.260175911574757,-1.1402227051875624,5
-4.378856471249252,-1.6925132879362654,-0.11724833491627912,5
-4.7571587185731055,-2.0534730348264563,0.11180757734352653,5
-4.77452929766109,-2.5892011376822905,-0.838171653116105,5
-3.8176546796423616,-0.7841828145245469,0.5638381340240959,5
-4.656266388838647,-1.9941312495023809,-0.11617465986406358,5
-4.692457892853587,-2.131301821352659,-0.19580067565100312,5
-4.306650739579451,-2.182394598865906,0.05008579011104475,5
-5.033985501291632,-2.7080941946332038,-0.7465943905102027,5
-4.651048871906415,-2.2382307696007984,-0.4091843427074593,5
-5.035662863746246,-2.5439267076114462,-0.15643359424001585,5
-4.7069059581568995,-2.0847664758057367,0.009762742621527412,5
-4.77878188669952,-2.3447427430792294,-0.011899219334421495,5
-4.952684033483171,-2.4074159080447917,-0.47987506789049367,5
-4.8016810157364915,-2.4167203952047407,-0.29001144437826787,5
-4.734971883451573,-2.5914810323915773,-0.8347567999204901,5
-3.9286013474433186,-1.1580878763996607,-0.8098614643297382,5
-4.908894944138865,-2.5262915036552887,-0.3981297721516656,5
-4.422468774318569,-1.8754247364487096,-0.21067696728137963,5
-4.572927070623191,-2.4095157355185823,-1.5009850407358711,5
-4.6054391961258645,-2.056171360664387,-0.33374925276897993,5
-4.490771506352303,-2.252495786201965,-1.4524289594905868,5
-4.942090466254521,-2.8324776945847745,-1.334174000510315,5
-3.7711376403442984,-1.5454869567790244,-2.2327772834960555,5
-4.163859075130717,-1.8586301222448431,-1.5663904905857782,5
-4.350765490126799,-1.9994400573499092,-1.477030012452197,5
-4.481406626545741,-2.1171097960605834,-0.47890141523776436,5
-4.855434540964568,-2.3855347130570417,0.2052055471387674,5
-4.680655672581829,-2.1542494777836128,-0.34182085369690474,5
-4.817478170744622,-2.5827799706605465,-0.8339646282374621,5
-4.814168897930563,-2.3798668859382195,0.3710212235916314,5
-4.601155134800146,-2.3236419005777558,-0.8281916849441054,5
-3.9225662367752414,-1.040744320420694,0.8042755553295459,5
-5.030899279365206,-2.57238965351741,0.12486302132099043,5
-4.838665061885,-2.6388809046391146,-0.9361776150323944,5
-4.539472874337143,-1.8605778012451808,0.2922295802693204,5
-4.36529797580204,-1.976417599523097,0.6275227035119816,5
-4.972427606866146,-2.574102873595383,0.2558726739751658,5
-3.556757061614281,-0.8749248032305517,-0.5592250675570987,5
-4.287511065015748,-2.038843038730779,0.5728272650843108,5
-4.016465700910676,-1.3342624878915703,-0.014939561049465597,5
-5.0667301516191054,-2.9646056993072305,-1.0388786267181422,5
-4.304234311898992,-1.6706188450667536,0.5124225676509084,5
-4.9821744685820075,-2.689055481434563,-0.598346492401651,5
-2.975582945659773,-0.5759913946575567,-2.1336202428793234,5
-4.157612114891829,-1.7482507622325125,-0.5331879706232124,5
-4.447521141322689,-2.241924973944847,-0.7519381738363213,5
-4.487282997861497,-2.3367043872207995,-0.6222588467919445,5
-4.905800806293789,-2.5025423530775868,0.40295094930469305,5
-4.405393242200124,-2.375486335529459,-1.8408052728896074,5
-3.642402720990036,-1.1471340938033883,0.4842828927755753,5
-4.577022296214928,-2.169829421922679,-0.5440679644920008,5
-4.784257603421682,-2.5136514179689597,-0.4312889258590962,5
