Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,Class
-1.1581010394382134,-1.256001236604067,-1.3742543923137231,-0.7541553012377328,-1.5931342286383032,-2.164758973476318,-1.1843217822493484,-1.253256178282943,0.28819141810858145,0.39199367881804087,1.4435961332073897,1.904861697612552,0.6937782184038838,2.402172872282726,1.9459267554470128,5
-1.1400741288264666,-1.109279435186289,-1.4695283607626652,-0.48393888989225287,-2.007701745832109,-2.164758973476318,-1.1593796105904812,-1.229362578654749,0.7049304267834758,-0.6907051004675989,0.23014547618800554,2.2123209250714724,0.3686511604717786,3.1008931403908897,2.2898795956875952,5
-1.105721962881958,-1.1828758146762601,-1.3163926280199532,-0.6917644752539573,-1.5411394567646197,-2.164758973476318,-1.1311081775066885,-1.1842178418571974,0.5832100853275792,0.5885870152544616,1.2696353932009903,1.827953165170664,0.613065368598834,2.2350914685510546,1.8608259267049656,5
-1.0723269780318783,-1.0676552533436,-1.3446279301154782,-0.49059538154241916,-1.7739908112112115,-2.164758973476318,-1.074674467451396,-1.1408043570681072,0.6781772079329479,-2.321376877275369,0.5190541963138755,2.1560670424642887,0.40372996020754265,2.5150747386737162,2.2268735185888344,5
-1.0653076500060654,-1.2039154468916855,-1.4530576415792669,-0.25345953575240593,-2.1595117080093176,-2.164758973476318,-1.0914299306883155,-1.1317371845156585,0.478946152167935,0.9618914711764353,1.9025266807198764,2.2123209250714724,0.10912839479871034,3.2709825046897705,2.2898795956875952,5
-1.0579160848879745,-1.1256359500700603,-1.3196986744933168,-0.5213367405260685,-1.7016172678026327,-2.164758973476318,-1.0814421464135393,-1.122210613601912,0.5328003931809469,0.5748881993444939,1.201305194283041,2.0788335447044965,0.4068042844822391,2.4113858358237765,2.1400096905125885,5
-1.0473870928492552,-0.9398670042565034,-1.338501218675202,-0.44408520435128673,-1.8025175306831245,-2.164758973476318,-1.0612482656394018,-1.108678069110679,0.25657017708128305,-0.9436540453291329,-0.35020663770677485,2.2123209250714724,0.3191145708655642,2.5611501423603356,2.2898795956875952,5
-1.0451536702955875,-1.1531525716797717,-1.3142685645632857,-0.4838538320161178,-1.7243578179470116,-2.164758973476318,-1.0679613665453989,-1.1058131859035312,0.4287141236504494,0.5349055390101465,1.5988315186738153,2.108271954380115,0.36910563296304305,2.420627054166845,2.173067886559847,5
-1.036326333535853,-1.121646039936653,-1.3075787513553478,-0.4710254838731184,-1.7232716262968106,-2.164758973476318,-0.2866219147547132,-1.0945093233638794,0.4470018528029531,0.27443916160411164,1.378861684421046,0.002256575060449327,0.3504531493833396,2.4093228769195534,2.1764273689151903,5
-1.0284030011430794,-1.1414738824696498,-1.2615973573553496,-0.5400538158665366,-1.5780087424592932,-2.164758973476318,-1.053061557217454,-1.0843890967666179,0.6989986160661146,0.9385383840852652,1.6529971656714793,1.884184058653407,0.4298483457712834,2.1684753613899255,1.9230044541640352,5
-1.0239893327632121,-1.0947432506551587,-1.3072557791971413,-0.4318409859569259,-1.7563568563201633,-2.164758973476318,-1.0443290682340431,-1.0787622579281242,0.43128095107608294,0.26307396761093194,1.2424363409181973,2.167972142178763,0.30310936455067156,2.447370478003556,2.2403014846674933,5
-1.0147365821837315,-1.1064219398652801,-1.345521051433167,-0.3131021411712123,-1.9233715318909592,-2.164758973476318,-1.0346141742399986,-1.0669906958484618,0.7550162577086229,0.24587300157259181,1.446086659359157,2.2123209250714724,0.17638972468668906,2.715495976156379,2.2898795956875952,5
-1.013885754544239,-1.0956481241734777,-1.2937058681552436,-0.4156695039718257,-1.7456820482243884,-2.164758973476318,-1.0365244062051198,-1.0659099089791042,0.2283928906440939,0.6962577596955609,1.3505215848243057,2.13650778137262,0.29647496736103907,2.398982638343548,2.2048345654752906,5
-1.0111737414433568,-1.0848954751136834,-1.2708464564751913,-0.4561436065149633,-1.669393865354191,-2.164758973476318,-1.0327585203310239,-1.0624667545651398,1.0124304408025078,0.5425302651471489,1.274242330695523,2.0171866086989434,0.3403724602989397,2.2742261080050454,2.070985783212614,5
-1.0111737414433568,-1.0929440869345237,-1.3258431244227002,-0.34773998602828615,-1.8601933554568229,-2.164758973476318,-1.0337409253416576,-1.0624667545651398,0.649741290758171,0.7008161333372288,1.3512282611775988,2.2123209250714724,0.20972248237321803,2.6030961163924258,2.2898795956875952,5
-1.0101102068939911,-1.115259008728399,-1.3145278696924565,-0.3670117742687599,-1.824053864530561,-2.164758973476318,-1.031230334758927,-1.0611172672106315,0.29209910048033827,0.4741661890143644,1.5781557056755988,2.2123209250714724,0.2325627174789236,2.5366690478308236,2.2898795956875952,5
-1.0088339654347525,-1.0752223242862706,-1.2813549286967008,-0.43086915489388644,-1.7103508306138937,-2.164758973476318,-1.0283376977831722,-1.0594984535968524,0.605655305310492,0.222319699200557,1.2051930391748547,2.088558577836445,0.3064156853293046,2.3423551363567006,2.150923588429821,5
-1.0087807887072842,-1.0999449504709946,-1.2884875130898705,-0.4185525089595604,-1.733806576913335,-2.164758973476318,-1.0291563686253669,-1.0594310165428604,0.2686832827301629,0.36258555439529977,1.4422529344090622,2.130125704956825,0.28929187935994083,2.3843719905111884,2.197649371369259,5
-1.0051115945119729,-1.1058504408010792,-1.3210709887825263,-0.337262711804278,-1.860308714167589,-2.164758973476318,-1.0272461366602457,-1.0547804666495646,0.42123781283348716,0.667122877092627,1.535859488938661,2.2123209250714724,0.19815555237519944,2.593421982724783,2.2898795956875952,5
-1.0017614606814713,-1.125191450797904,-1.2670464123120497,-0.44028534960290794,-1.6763094927413726,-2.164758973476318,-1.0269186683233678,-1.0505387911464512,0.5034613219275414,1.1722701407290446,1.7595274667842473,2.03917439874851,0.31318552210270895,2.2816401478850756,2.0955731794486456,5
-0.9996875683102083,-1.1178360461753083,-1.2287628753387798,-0.5061030666668633,-1.5482812745277696,-2.164758973476318,-1.0266457780426363,-1.047915128610742,0.39784175566639773,1.4735862646691873,1.707378966033748,1.8324171597359085,0.3955811924426652,2.074230607108048,1.8657537219735647,5
-0.9913919988251567,-1.1048397341227219,-1.3044477866647772,-0.3210557446994434,-1.8440950980284077,-2.164758973476318,-1.0164396815432748,-1.0374367500524013,0.3926973477299019,1.2127830039960783,1.6617913639182658,2.2123209250714724,0.18595676512517612,2.535815790951983,2.2898795956875952,5
-0.9891053995440207,-0.9183299561889033,-1.2606112540882788,-0.4010371347072835,-1.6986004707068787,-2.164758973476318,-0.9942809907478698,-1.0345530388739017,0.14354279055008604,-1.9121246093260587,-0.007697785087798367,2.0608592355695547,0.2802170302005378,2.283817125840187,2.119856078781572,5
-0.9857020889860508,-1.010362472157381,-1.1060950294357315,-0.7046158597090784,-1.1294118664823585,-1.3106714964988924,-1.0025768552821102,-1.0302646375840316,0.2445506483710884,-0.052257388098119514,0.8251078102381921,1.2391921877102636,0.6288983826911794,1.500081246384561,1.2235342207555493,5
-0.9836813733422561,-1.0065524783960362,-1.0185385582619744,-0.8359682247016423,-0.822324573970623,-0.7640272417311383,-1.0045416653033776,-1.0277204514391605,-0.18969441791226974,0.5904502760826572,0.809498638911207,0.8122202229717873,0.8254757227022431,1.126018400639394,0.7770633337891852,5
